SES.Quintile,Sex,Month,Age,Deaths.2015,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019
1,1,1,0,276,266.0167353,278.0444625,294,249
2,1,1,0,242.0198093,251.0091099,256.0086324,245.0303199,206
3,1,1,0,231.0081022,266,197.0075818,217,199.0075352
4,1,1,0,206.0315394,172,188.0083608,184.029154,188.0083556
5,1,1,0,158.0147535,153,140.0057985,138,148.0217439
All,1,1,0,1113.076233,1108.026688,1059.071926,1078.059793,990.0375863
1,2,1,0,235.0072946,216,211,209,176.0054848
2,2,1,0,196,181,190,188.0062696,171
3,2,1,0,190.0073044,173,171,194,128.0101569
4,2,1,0,149.0125649,146,140,123,142
5,2,1,0,135.0056156,108,116,108,99.00495188
All,2,1,0,905.0337833,824,828,822.0057683,716.0227404
1,1,2,0,259.0258054,303.0209136,262,224,203
2,1,2,0,254.0109713,220.0172357,223,210.0150889,226
3,1,2,0,189.0090598,215.0096114,197.008234,200.0080978,185
4,1,2,0,166.0254291,201.0202448,167.0081752,161.0084949,178.0271176
5,1,2,0,149.0086824,124,122,131,128.0354047
All,1,2,0,1017.080865,1063.063861,971.0164413,926.0308608,920.0614521
1,2,2,0,209.0075954,186,188.0063732,199,184
2,2,2,0,200,177,184,144,167
3,2,2,0,171.0078899,183,138,157.0060405,139
4,2,2,0,143.0070774,174,119.0116785,123.0057261,135
5,2,2,0,115,111,114,108,90
All,2,2,0,838.0220825,831,743.0192658,731.012499,715
1,1,3,0,286.0273211,281,276.0168203,261,252.0159724
2,1,3,0,229,235.0147516,228.0252607,246.026298,224.0079422
3,1,3,0,258.0099192,243.0097573,200.0068134,238.0091001,213.0079177
4,1,3,0,201.0176298,157.0141254,174.0160898,172.0240309,184.0157143
5,1,3,0,144,172.0254057,147.0311177,134.0337087,125.0143396
All,1,3,0,1118.055147,1088.070276,1025.096728,1051.099167,998.0610104
1,2,3,0,227,276.010014,223,215.0083233,241.0165404
2,2,3,0,186.0145247,205,216.0165764,188.0148194,190
3,2,3,0,195,171.0079225,171,151,176
4,2,3,0,154.0144993,150,147.0066436,147.0079659,133
5,2,3,0,141.0150083,121,119,120,100.0047235
All,2,3,0,903.0447539,923.0153298,876.0210989,821.0270044,840.0203136
1,1,4,0,288.0091207,294.0194475,271,262,213.0065527
2,1,4,0,254,218.0091848,249.0280815,225.0150412,217.0084962
3,1,4,0,220,230.0195478,202.0166728,199.0166196,210
4,1,4,0,169.0174476,168.0169914,212,157.0080526,145.0208211
5,1,4,0,171.0111588,126.0228514,143.0230686,139.0330275,125.0144784
All,1,4,0,1102.038945,1036.089636,1077.073025,982.0740666,910.0527239
1,2,4,0,231,205,186.0070503,177.0063389,196
2,2,4,0,182.0167126,215.0093271,172,177,191.0167898
3,2,4,0,165.0078345,182,158.0053631,172.0136126,162
4,2,4,0,154,148.0076171,146.0164164,131.0067188,163.0092565
5,2,4,0,126,103.0053327,141,117,112
All,2,4,0,858.0231408,853.0229301,803.0282173,774.0271994,824.0216035
