FIPS,Y2015,Y2016,Y2017,Y2018,Y2019,SES.Quintile,SES.Decile
10001,1573,1618,1616,1765,1671,3,5
10003,4553,4678,4882,4962,4913,4,8
10005,2456,2578,2680,2706,2718,3,6
1001,523,520,528,536,545,3,5
1003,2092,1974,2189,2357,2283,3,6
1005,295,256,320,312,334,1,1
1007,238,239,271,276,264,1,1
1009,613,697,712,689,718,1,2
1011,120,133,125,112,118,1,1
1013,255,275,239,296,244,1,1
1015,1484,1404,1523,1590,1414,1,2
1017,438,460,450,420,425,1,1
1019,345,361,346,348,383,1,1
1021,529,475,520,510,494,1,1
1023,183,180,177,191,183,1,1
1025,275,315,282,317,352,1,1
1027,190,177,164,184,191,1,1
1029,205,191,194,173,211,1,1
1031,502,508,526,592,568,2,3
1033,747,707,692,783,759,1,2
1035,190,153,174,179,204,1,1
1037,151,160,134,148,138,1,2
1039,546,503,555,574,552,1,1
1041,178,191,184,178,193,1,1
1043,1007,1012,1057,1087,1092,1,2
1045,511,550,537,536,551,1,2
1047,544,571,521,566,461,1,1
1049,827,792,815,844,845,1,1
1051,761,799,816,811,803,3,5
1053,486,522,478,473,478,1,1
1055,1435,1389,1406,1460,1396,1,2
1057,228,249,237,234,217,1,1
1059,382,376,364,371,381,1,1
1061,350,379,364,395,354,1,1
1063,114,104,124,112,92,1,1
1065,171,189,209,170,219,1,1
1067,227,215,236,221,223,1,2
1069,1085,1112,1186,1133,1162,1,2
1071,719,736,714,708,728,1,1
1073,7182,7137,7314,7451,7237,3,5
1075,202,205,216,154,196,1,1
1077,1104,1161,1100,1149,1135,2,3
1079,420,400,397,432,422,1,1
1081,1016,1007,1111,1115,1219,2,4
1083,776,727,848,890,856,2,3
1085,129,148,134,140,146,1,1
1087,231,259,218,268,263,1,1
1089,3020,3282,3189,3352,3360,4,8
1091,252,270,282,301,272,1,1
1093,441,388,419,423,443,1,1
1095,1114,1187,1133,1192,1129,1,2
1097,4285,4411,4301,4493,4574,1,2
1099,268,237,294,298,247,1,1
11001,4871,5037,4965,5008,4927,5,9
1101,2168,2150,2157,2102,2124,2,3
1103,1330,1318,1393,1362,1458,1,2
1105,121,129,142,116,126,1,1
1107,268,250,206,233,291,1,1
1109,302,302,337,321,334,1,1
1111,314,295,345,292,301,1,1
1113,651,657,665,595,635,1,1
1115,904,975,942,978,965,2,3
1117,1350,1490,1471,1551,1635,5,9
1119,158,164,146,166,166,1,1
1121,1010,1018,1050,1015,1001,1,1
1123,452,589,571,534,595,1,1
1125,1761,1763,1736,1849,1738,2,4
1127,1055,1012,1086,1028,993,1,1
1129,230,212,183,189,205,1,1
1131,145,125,146,170,150,1,1
1133,304,324,337,307,317,1,1
12001,1900,1946,1940,2033,2008,3,5
12003,241,247,270,284,263,2,3
12005,1866,1924,2060,2009,1872,2,4
12007,301,314,344,335,310,1,1
12009,6958,7315,7611,7611,7612,3,6
12011,14641,15282,15443,15156,15236,3,6
12013,167,184,187,200,165,1,1
12015,2593,2564,2741,2727,2745,2,4
12017,2545,2503,2584,2760,2644,1,2
12019,1717,1748,1827,1846,1939,3,6
12021,3150,3273,3519,3537,3599,4,7
12023,753,772,853,836,830,1,1
12027,345,334,377,391,355,1,1
12029,228,204,241,235,227,1,1
12031,7831,8064,8562,8676,8779,3,5
12033,3312,3303,3409,3505,3731,2,4
12035,1224,1280,1340,1414,1522,3,6
12037,128,145,115,126,157,1,2
12039,467,464,450,509,483,1,1
12041,204,162,213,230,197,1,1
12043,134,120,115,133,135,1,1
12045,172,183,194,197,186,1,2
12047,145,130,176,148,165,1,1
12049,200,229,224,219,240,1,1
12051,276,311,294,353,328,1,1
12053,2601,2734,2785,2864,2855,2,3
12055,1423,1574,1699,1596,1667,1,1
12057,10324,10640,10605,10973,10992,3,6
12059,270,259,245,294,318,1,1
12061,1971,2076,1986,2115,2201,2,4
12063,630,610,641,668,634,1,1
12065,156,191,175,159,167,1,2
12067,69,75,96,85,81,1,1
12069,3986,4110,4364,4364,4578,3,5
12071,6858,6949,7500,7350,7534,3,5
12073,1761,1802,2011,1938,2043,3,6
12075,553,560,563,550,552,1,1
12077,59,59,73,93,70,1,1
12079,237,231,198,245,247,1,1
12081,3845,4055,4041,4180,4362,3,5
12083,4796,5097,5115,5304,5352,1,2
12085,1883,1994,2002,1938,1969,3,6
12086,19542,20277,20703,20108,20044,2,4
12087,781,747,760,705,661,4,8
12089,831,839,937,946,935,3,6
12091,1844,1737,1860,1919,1882,3,6
12093,420,469,497,471,481,1,1
12095,7693,7960,8217,8600,8418,3,6
12097,2079,2169,2412,2460,2533,2,3
12099,14460,14656,14999,14716,14843,3,6
12101,5885,6030,6194,6481,6546,3,5
12103,11662,11843,12079,12195,12181,3,6
12105,6663,6699,6966,7182,7373,1,2
12107,965,962,1025,1086,994,1,1
12109,1884,1922,2018,2078,2115,5,9
12111,3093,3222,3266,3336,3505,2,4
12113,1348,1445,1527,1693,1679,3,6
12115,5511,5689,5644,5865,5991,4,7
12117,3360,3433,3602,3574,3544,4,8
12119,1703,1848,1927,2010,2086,3,6
12121,573,559,611,559,580,1,1
12123,258,281,238,286,262,1,1
12125,257,233,240,249,251,1,1
12127,6886,7006,7448,7343,7401,2,4
12129,252,304,284,288,298,2,3
12131,575,635,668,743,674,3,5
12133,292,331,326,347,375,1,1
13001,220,192,215,220,211,1,1
13003,81,84,86,75,99,1,1
13005,134,137,146,138,123,1,1
13007,32,44,36,29,29,1,1
13009,426,455,494,487,467,1,1
13011,188,148,187,193,186,1,1
13013,585,556,654,662,664,2,4
13015,832,919,851,985,993,2,3
13017,236,217,216,234,248,1,1
13019,213,231,214,241,240,1,1
13021,1746,1686,1681,1741,1804,1,1
13023,154,147,151,132,128,1,1
13025,181,198,212,204,214,1,1
13027,191,195,206,208,216,1,1
13029,268,271,289,292,278,4,7
13031,527,539,560,516,555,1,1
13033,251,246,222,255,233,1,1
13035,241,276,261,316,267,1,2
13037,68,60,71,66,58,1,1
13039,330,362,378,375,403,1,1
13043,166,149,143,133,119,1,1
13045,1076,1083,1145,1103,1124,1,2
13047,675,681,654,664,655,2,4
13049,110,85,107,143,126,1,1
13051,2387,2493,2427,2468,2549,3,5
13053,39,38,38,41,36,1,1
13055,317,330,329,354,317,1,1
13057,1466,1500,1574,1644,1690,5,9
13059,750,764,766,815,736,1,2
13061,27,52,45,37,57,1,1
13063,1589,1655,1788,1809,1750,1,2
13065,77,93,92,71,91,1,1
13067,4258,4298,4410,4509,4575,5,9
13069,412,437,412,438,425,1,1
13071,485,468,509,517,479,1,1
13073,836,923,960,1017,996,4,8
13075,221,157,202,208,181,1,1
13077,972,1070,1048,1085,1103,4,7
13079,95,139,140,135,140,1,1
13081,239,246,261,267,281,1,1
13083,197,180,200,191,187,1,1
13085,235,205,261,264,237,3,5
13087,299,316,349,336,310,1,1
13089,4335,4394,4636,4735,4695,4,7
13091,244,246,213,193,263,1,1
13093,135,129,112,120,129,1,1
13095,973,940,937,965,1006,1,1
13097,975,971,974,975,1040,3,5
13099,124,131,153,138,148,1,1
13101,29,30,21,18,27,1,1
13103,402,447,493,474,480,3,5
13105,252,260,256,274,260,1,1
